Puntuación,Dirección,Guionista,Argumento,Nombre de la película,ID de la película,Genero
6.1,DirectorJohn Charles HuntWriterJohn Charles HuntStarsBlanche BakerBo SvensonChristopher Mann,John Charles Hunt,"A suburban woman witnesses her husbands murder, and decides to seek revenge in a 24 hr period. Along the way, Polly O'Bannon finds others who share her taste for revenge in the Pinelands of South Jersey.",Jersey Justice,tt0772175,Action
6.2,Desconocido,Matt SazamaBurk SharplessBram Stoker,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",Dracula Untold,tt0829150,Action
6.4,Desconocido,Dave CallahamMax Borenstein,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Godzilla,tt0831387,Action
4.6,Desconocido,Timothy FordTristan Patterson,A chronicle of the life of furniture salesman turned bank robber Eddie Dodson.,Electric Slide,tt0835775,Action
6.9,Desconocido,Rick JaffaAmanda SilverColin Trevorrow,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Jurassic World,tt0369610,Action
7.4,Desconocido,Chris WilliamsMark DindalDavid Reynolds,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Keizer Kuzco,tt0120917,Fantasy
6.4,DirectorsEric LeightonRalph ZondagWritersThom EnriquezJohn HarrisonRobert Nelson JacobsStarsD.B. SweeneyJulianna MarguliesSamuel E. Wright,Thom EnriquezJohn HarrisonRobert Nelson Jacobs,An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,Dinosaur,tt0130623,Fantasy
4.9,Desconocido,James O'BarrChip Johannessen,Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,The Crow: Salvation,tt0132910,Fantasy
4.3,Desconocido,Jay WardKenneth Lonergan,"When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.",The Adventures of Rocky & Bullwinkle,tt0131704,Fantasy
6.9,Desconocido,Ted ElliottTerry RossioKarey Kirkpatrick,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",The Road to El Dorado,tt0138749,Fantasy
4.6,Desconocido,Gregory WidenEric BerntGillian Horvath,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",Highlander: Endgame,tt0144964,Fantasy
6.5,DirectorAlexandra KingWriterAlexandra KingStarsSteven PolitoMiss UnderstoodDebbie Harry,Alexandra King,Two draq queens go on a Bonnie & Clyde rampage around New York City... but neither one wants to be Clyde,Red Lipstick,tt0144574,Fantasy
6.7,Desconocido,Steven PressfieldJeremy Leven,A down-and-out golfer attempts to recover his game and his life with help from a mystical caddie.,The Legend of Bagger Vance,tt0146984,Fantasy
Desconocido,Desconocido,Desconocido,Desconocido,The Sorcerer's Apprentice,tt0120166,Fantasy
